sentence	entity	entity_tag	entity_pos_start_rel	entity_pos_end_rel	label
В заявлении также говорится, что погибший полицейский был охранником Мосийчука.	охранником	PROFESSION	58	68	0
Вскоре после оглашения решения присяжных Мюррея в наручниках транспортировали в место его заключения, где он будет находиться вплоть до вынесения приговора, которое состоится 29 ноября.	Мюррея	PERSON	41	47	0
По словам министра внутренних дел Афганистана, двое нападавших были убиты сотрудниками сил безопасности.	сил безопасности	ORGANIZATION	87	103	0
На вопрос о травме основного вратаря сборной Игоря Акинфеева, полученной им в матче российской премьер-лиги между «Спартаком» и ЦСКА, Адвокат ответил, что «футболисты приходят на пресс-конференцию, чтобы говорить о сборной России, а не о „Зените“, „Спартаке“ или ЦСКА».	основного вратаря	PROFESSION	19	36	0
А греческая оппозиция заявила о намерении инициировать голосование о выражении недоверия правительству Алексиса Ципраса.	Алексиса Ципраса	PERSON	103	119	-1
Врач Хиллари Клинтон Лиза Бардек сообщила, что сейчас женщина находится под присмотров медиков и чувствует себя хорошо:	Лиза Бардек	PERSON	21	32	0
«Социальные издержки» таких центров «относительно невелики», если сравнить с Чечнёй, Афганистаном и Сирией, утверждает газета.	Сирией	COUNTRY	100	106	0
Власти Северной Кореи намерены нанести предупредительный удар по Японии и США при «малейших провокациях» с их стороны.	Японии	COUNTRY	65	71	-1
Альтернативная Нобелевская премия вручена в СтокгольмеВ здании парламента Швеции прошла церемония вручения премии «За целесообразное жизнеобеспечение», известной во всём мире как Альтернативная Нобелевская премия, сообщает NEWSru.com.	парламента Швеции	ORGANIZATION	63	80	0
Президент России Владимир Путин указом от 13 февраля 2014 года наградил гендиректора российского международного информационного агентства «Россия сегодня» и заместителя гендиректора ВГТРК Дмитрия Киселёва орденом «За заслуги перед Отечеством» IV степени.	Россия сегодня	ORGANIZATION	139	153	0
Таким же образом поступил кандидат от Республиканской партии в вице-президенты США Майкл Пенс.	Республиканской партии	ORGANIZATION	38	60	0
Спикер Национальной Ассамблеи Диосдадо Кабельо прочел письмо к законодателям, в котором заявил, что врачи рекомендовали Чавесу не отправляться пока домой.	законодателям	PROFESSION	63	76	0
По словам Мнучина, «Мадуро цепляется за Кубу, чтобы остаться у власти, покупая военную и разведывательную помощь в обмен на нефть».	Кубу	COUNTRY	40	44	1
Аветисян также поблагодарил за содействие в принятие резолюции ее автора — конгрессмена Хетча, а также Джеймса Галстяна и шерифа Мидлесекса Питера Кутунджяна за их усилия по защите в США интересов Арцаха.	Джеймса Галстяна	PERSON	103	119	1
Арестованный в Греции в прошлом году Александр Винник, обвиняемый властями США в отмывании крупных денежных сумм с помощью криптобиржи BTC-e, написал признание в Генпрокуратуру РФ.	США	COUNTRY	75	78	0
Президент «MicroBank», Антонио Вила (Antonio Vila), рассказал, что за 9 лет существования этой льготной программы, она смогла стать одним из ключевых игроков микрофинансового сектора в Испании и Европе, а также стала полезным ресурсом для содействия финансовой интеграции и стимулирования экономической деятельности и создания рабочих мест.	MicroBank	ORGANIZATION	11	20	1
Тем не менее немногим ранее американский экономист Десмонд Лакман призвал Грецию, Ирландию, Испанию и Португалию, чьи экономики являются самыми проблемными в ЕС, добровольно выйти из зоны евро.	Грецию	COUNTRY	74	80	-1
Взрывы произошли в ста метрах от здания парламента Чеченской республики, что, по предварительной версии, позволяет говорить о возможном предотвращении более крупных терактов, целью которых, вероятно, были республиканские органы власти.	парламента Чеченской республики	ORGANIZATION	40	71	0
В соответствии с условиями соглашения, заключенного с Министерством юстиции США, в четверг компания Transocean Deepwater признала себя виновной в преступной халатности.	Министерством юстиции	ORGANIZATION	54	75	0
Обама призвал премьер-министра тесно сотрудничать с Евросоюзом и Международным валютным фондом в реализации программы экономических реформ в Греции.	Евросоюзом	ORGANIZATION	52	62	1
113-летний Масадзо Нонака, который в апреле 2018 года был признан самым пожилым из живущих на планете мужчин, умер в 20 января 2019 года.	Масадзо Нонака	PERSON	11	25	0
США ввели санкции против Кубы за поддержку Мадуро	США	COUNTRY	0	3	-1
Читайте также: Адвокаты Берлускони обжалуют приговор экс-премьеру	Адвокаты	PROFESSION	15	23	0
Украинец не допускал ошибок, уходил из области видимости Гассиева и постоянно накидывал тому встречные удары.	Гассиева	PERSON	57	65	1
Владимир передал видеозапись преступления сотрудникам полиции и дал свидетельские показания следователю.	полиции	ORGANIZATION	54	61	0
В ответ пресс-секретарь президента России Песков через СМИ дал понять, что несмотря на все просьбы и договорённости, Путин не выпустит девушку, пока она лично не попросит его об этом.	пресс-секретарь президента России	PROFESSION	8	41	0
Об этом сообщила двусторонняя рабочая группа по вопросам обороны и безопасности.	двусторонняя рабочая группа по вопросам обороны и безопасности	ORGANIZATION	17	79	0
Великий хоккейный защитник Никлас Лидстрём заявил о завершении спортивной карьеры	хоккейный защитник	PROFESSION	8	26	0
Пресс-секретарь талибов Юсеф Ахмади заявил, что враги убили двух талибов-охранников в местности Пандж Буз и освободили 40 заключённых.	Пресс-секретарь талибов	PROFESSION	0	23	0
США в четверг выступили с осуждением в адрес России, обвинив её в проведении в октябре 2019 года серии кибератак против Грузии.	России	COUNTRY	45	51	-1
Джейн Остин (Jane Austen 16 декабря 1775 — 18 июля 1817) — английская писательница, провозвестница реализма в британской литературе, сатирик, писала так называемые романы нравов.	британской	COUNTRY	110	120	0
Госсекретарь Майк Помпео во вторник побеседовал по телефону с министром иностранных дел Словении Андже Логаром, сообщил Госдепартамент США.	Госдепартамент США	ORGANIZATION	120	138	0
Новость о том, что американская команда должна носить экипировку, сшитую в Китае, вызвала возмущение и критику со стороны ряда политиков.	американская команда	ORGANIZATION	19	39	-1
Ровно в 11:00 по всему Израилю прозвучал звук сирены, на 2 минуты жизнь в еврейском государстве остановилась.	еврейском	NATIONALITY	74	83	0
Глава Чечни Рамзан Кадыров в своём Telegram-канале сказал, что взгляды Азимова сформировались во Франции и ответственность за это лежит на французских властях.	Азимова	PERSON	71	78	0
Он один из самых титулованных баскетболистов США.	США	COUNTRY	45	48	0
Множество православных церквей по всему миру, включая Русскую, Греческую, Сербскую и Черногорскую, — отмечают 7 января Рождество по старому стилю.	Русскую	COUNTRY	54	61	0
В сообщении центробанка Швейцарии говорится:	центробанка Швейцарии	ORGANIZATION	12	33	0
Эксперты затрудняются сказать, кто сменит Суркова, однако из информации опубликованной на сайте кабинета министров следует, что обязанности Владислава Суркова на период его отсутствия возлагаются на вице-премьера Аркадия Дворковича:	кабинета министров	ORGANIZATION	96	114	0
В прошлом году Мадуро переизбрали президентом, однако позднее поддерживаемый США лидер оппозиции Хуан Гуайдо провозгласил себя временным президентом.	президентом	PROFESSION	34	45	0
Более 2000 военнослужащих находились в Ираке, прежде чем в 2008 году контингент был отозван в период российско-грузинской войны.	военнослужащих	PROFESSION	11	25	0
Например, в возрасте 16 лет, он создал приложение iPhone для Freedom House — старейшей правозащитной организации в Соединенных Штатах.	Соединенных Штатах	COUNTRY	115	133	0
Вчера он уволил Азамата Сагитова, который возглавил башкирскую администрацию год назад после вынужденной отставки Радия Хабирова, сейчас занимающего пост заместителя начальника управления президента РФ по внутренней политике.	Радия Хабирова	PERSON	114	128	0
Затем россияне разошлись миром со сборной Польши — 1:1.	россияне	NATIONALITY	6	14	0
Кино Гая Ричи это остросоциальная криминальная драма с элементами комедии.	Гая Ричи	PERSON	5	13	0
Сообщается о ещё трёх пострадавших, среди них раввин синагоги Исорел Голстайн и девочка 8 лет.	раввин	PROFESSION	46	52	0
Кроме того, за несколько недель до того как М.Шапиро вступила в свою должность, инвестор Бернард Мэдофф был обвинен в финансовой афере и приговорен к тюремному сроку, что также серьезно подорвало доверие к государственным регулирующим органам, не усмотревшим в этом деле признаки мошенничества.	М.Шапиро	PERSON	44	52	0
Согласно документам дела, следствие полагает, что Рахами, используя на eBay аккаунт «Ahmad Rahami», в период между 20 июня и 10 августа приобрел лимонную кислоту, схемную плату, электрические воспламенители и сотни шарикоподшипников.	Рахами	PERSON	50	56	0
На вопрос о травме основного вратаря сборной Игоря Акинфеева, полученной им в матче российской премьер-лиги между «Спартаком» и ЦСКА, Адвокат ответил, что «футболисты приходят на пресс-конференцию, чтобы говорить о сборной России, а не о „Зените“, „Спартаке“ или ЦСКА».	Спартаком	ORGANIZATION	115	124	-1
Италии и Испании не понадобится финансовая помощь	Испании	COUNTRY	9	16	1
Сообщается, что 56-летняя Дик примет этот пост у занимавшего его с 2011 года сэра Бернарда Хогана-Хау (Bernard Hogan-Howe).	Bernard Hogan-Howe	PERSON	103	121	0
Офицер военно-морской разведки Джеффри Дилайл, не обнаружил особых знаков волнения, когда ему был зачитан приговор, в котором офицера признали виновным в передаче иностранным организациям информации, которая могда повредить национальным интересам Канады.	офицера	PROFESSION	126	133	0
Директор НАСА Майкл Гриффин сделает сообщение перед членами Королевского Общества об исследованиях НАСА и научных программах НАСА.	Майкл Гриффин	PERSON	14	27	0
Суд признал виновным врача, лечившего Майкла Джексона, в его смерти	врача	PROFESSION	21	26	0
Однако в условиях политического кризиса Земан уже пообещал чехам, что в рамках деятельности кабинета Руснока будет повышена минимальная заработная плата трудящимся.	кабинета Руснока	ORGANIZATION	92	108	0
По данным ООН, почти четверть из 30-миллионного населения охваченной кризисом Венесуэлы нуждается в гуманитарной помощи.	Венесуэлы	COUNTRY	78	87	0
В ходе подготовки к проведению фестиваля осуществляется мониторинг состояния русской речи в современной России, проводится анкетирование представителей различных социальных и возрастных групп с целью определения тенденций развития современной речевой культуры, проводятся Круглые столы.	России	COUNTRY	104	110	0
Британские СМИ обвинили Россию в подкупе членов ФИФА на выборах страны-хозяйки ЧМ-2018 по футболу	Британские	COUNTRY	0	10	-1
Оппозиция обвиняла его в диктаторском стиле правления, однако значительная часть малоимущих слоев населения Венесуэлы боготворила его.	Венесуэлы	COUNTRY	108	117	0
Попов, ещё до «Жар-птицы», работал с командами «Фобос» и «Красные дьяволята».	Фобос	ORGANIZATION	48	53	0
"Участники обращения расценивают действия российского руководства в отношении Грузии  как подготовку к войне и призывают Россию и Грузию ""решать все конфликты мирными дипломатическими средствами""."	Россию	COUNTRY	120	126	0
Около 15:30 по местному времени в субботу, 8 февраля 2020 года, на военной базе Surathampithak 32-летний сержант Джакрапант Томма застрелил своего командира полковника Анантарота Красе и ещё двух людей — одного военного и 63-летнюю женщину.	командира	PROFESSION	147	156	0
Кроме того, они попросили американцев, чтобы они ослабили интенсивность маневров, которые американцы проводили в то время в Персидском заливе.	американцев	NATIONALITY	26	37	0
Бардо, известная также и как активистка борьбы за права животных, заявила, что готова попросить российское гражданство, если власти Франции не сделают ничего, чтобы спасти от усыпления слоних Бэби и Непал.	Непал	PERSON	199	204	-1
Согласно документам суда, в период с 2006 до конца 2007 года Мардахаев и его сообщники обманывали потерпевших, используя для этого фальшивые сайты, которые, якобы, были связаны с Федеральной налоговой службой США.	Федеральной налоговой службой США	ORGANIZATION	179	212	0
Прислуга Макафи дала интервью, в котором утверждала, что между ними ранее возникали серьёзные конфликты.	Прислуга Макафи	PROFESSION	0	15	0
Афганский гуманитарный работник в этом районе, попросивший не называть его имени, сказал, что убито минимум 40 человек, в том числе несколько женщин и детей.	гуманитарный работник	PROFESSION	10	31	0
По случаю данных событий в Гегаркуникском областном следственном управлении Следственного комитета Армении были возбуждены уголовные дела по пунктам 1 и 7 части 2 статьи 34-104 (попытка убийства) и части 1 статьи 185 (умышленное уничтожение или повреждение имущества).	Гегаркуникском областном следственном управлении Следственного комитета Армении	ORGANIZATION	27	106	0
Когда у меня все было плохо, я встречался с Аркадием, и после разговора с ним на душе всегда легчало.	Аркадием	PERSON	44	52	1
Уго Чавес: «США и Израиль провоцируют ядерную войну»	Израиль	COUNTRY	18	25	-1
Во встрече принимали участие председатель партии, миллиардер Бидзина Иванишвили и глава правительства Квирикашвили.	Квирикашвили	PERSON	102	114	0
В субботу, 6 октября 2018 года, советский и российский художник-живописец и график Александр Шилов отметил свой 75-летний юбилей.	советский	COUNTRY	32	41	0
Федеральный судья, выслушавший это заявление, обратился с письмом к сенатору Инуйе, прося его просить президента о помиловании заключённого.	сенатору	PROFESSION	68	76	0
В притирку с правой девяткой на 13-й минуте выстрелил Кержаков; опасные проходы совершал по левому краю Жирков; настырен был на подступах к греческой штрафной Дзагоев.	Дзагоев	PERSON	159	166	0
Они умоляли убийцу их дочери рассказать, где он спрятал тело Инъин.	Инъин	PERSON	61	66	0
После войны она вышла замуж за филиппинского журналиста Вениньо С. Акино младшего, который после избрания Маркоса президентом в 1965 году стал лидером оппозиции.	лидером оппозиции	PROFESSION	143	160	0
В одной из своих поездок он познакомился с будущей женой, но, когда та заскучала по родине и захотела вернуться в Германию, проблемы с законом дали себя знать.	Германию	COUNTRY	114	122	1
Инновационный туалет — результат одного из исследовательских проектов, финансируемых благотворительным фондом Билла Гейтса и его супруги Мелинды.	благотворительным фондом Билла Гейтса и его супруги Мелинды	ORGANIZATION	85	144	0
Представитель КНР при ООН Чэнь Сюй заявил, что Китай «высоко ценит поддержку» от стран-подписантов.	Представитель КНР при ООН	PROFESSION	0	25	0
У россиян дважды отличился Алан Дзагоев, и по разу чешские ворота поразили Роман Павлюченко и Роман Широков.	Роман Павлюченко	PERSON	75	91	1
На пост министра внутренних дел в техническом кабинете Руснока готовят Мартина Пецина, исполнявшего уже эти обязанности в беспартийном правительстве Яна Фишера в 2009-2010 годах.	правительстве Яна Фишера	ORGANIZATION	135	159	0
Со стороны Visa иск пока никак не прокомментировали.	Visa	ORGANIZATION	11	15	0
Из них четверо доставлены в Александровскую больницу, пятеро в Елизаветинскую, один в городскую больницу святого Георгия.	Георгия	PERSON	113	120	0
И ведь действительно, вот оно — это место, где Господь явился людям», — говорит Джон Хауэртон из Техаса.	Джон Хауэртон	PERSON	80	93	0
В пресс-релизе правительство Великобритании заявило: «Посоветовавшись с британскими поставщиками указанных лекарств и иными заинтересованными сторонами, Правительство с удовлетворением обнаружило, что планируемый запрет не скажется на законной торговле указанными веществами для применения их в медицинских целях».	британскими	COUNTRY	72	83	0
17 декабря 2015 года уволен с поста главного тренера футбольного клуба «Челси» Жозе Моуринью.	Жозе Моуринью	PERSON	79	92	-1
Одним из главных мест стал храм Рождества Христова, построенный вокруг грота, где, согласно преданию, родился Иисус.	Иисус	PERSON	110	115	0
Затем судно отправится в Сьерра-Леоне, Габон, Танзанию и другие страны для оказания бесплатной медицинской помощи.	Танзанию	COUNTRY	46	54	0
«Внутренние атаки» (insider attack) совершают, в частности, сторонники «Талибана», которым удалось проникнуть на службу в афганские армию или полицию.	Талибана	ORGANIZATION	72	80	-1
Совместно с «изобретателем Всемирной паутины» Тимом Бернерсом-Ли Аарон Шварц написал несколько работ.	Аарон Шварц	PERSON	65	76	1
Шахин заявил, что талибы «призвали [американских военных] прекратить подобные нападения».	американских военных	PROFESSION	36	56	-1
Не успели высохнуть чернила на прошении об отставке Нечаса, как три главные силы чешской политики стали артикулировать свои цели с оглядкой на то, что до очередных парламентских выборов в мае 2014 года остается десять месяцев.	чешской	COUNTRY	81	88	0
Меньше чем через сутки итальянский композитор опровёрг якобы свои слова:	композитор	PROFESSION	35	45	0
"Как считает руководитель координационного совета местной оппозиции Рамиль Бигнов, эта фигура возникла ""неслучайно"", и глава региона может рассматривать господина Курапова как своего очередного потенциального преемника на посту президента республики."	Рамиль Бигнов	PERSON	67	80	0
Американский рейнджер скончался от ран в Афганистане	Афганистане	COUNTRY	41	52	0
Эвакуация раненого американского военнослужащего в Афганистане, 2011 год	американского военнослужащего	PROFESSION	19	48	0
Самым молодым в истории нобелевским лауреатом был 25-летний австралийский физик Лоренс Брэгг, получивший награду вместе с отцом в 1915 году.	австралийский	NATIONALITY	60	73	0
В 2007 году она основала фонд «Справедливая помощь», который занимался поддержкой онкобольных, нуждающихся и бездомных.	Справедливая помощь	ORGANIZATION	31	50	1
Он добавил, что «боксёрам нужно быть намного строже с медицинскими тестами, обследованиями, которые они проходят, спортсменам следует внимательнее относиться к этому».	боксёрам	PROFESSION	17	25	0
Однако Песков настаивает на другой версии причин отставки.	Песков	PERSON	7	13	0
Модно нынче быть сугубо политическим узником, сразу можно рассчитывать на внимание BBC, а то и на поддержку Amnesty International.	Amnesty International	ORGANIZATION	108	129	0
В заявлении Нобелевского комитета было сказано, что премия Фо присуждается за то, что он, наследуя средневековым шутам, порицает власть и авторитет и защищает достоинство угнетаемых.	Фо	PERSON	59	61	1
Во втором матче сборной России противостояла сборная Турции.	сборная Турции	ORGANIZATION	45	59	-1
«Железная леди» возглавляла британское правительство с 1979 по 1990 год.	Железная леди	PERSON	1	14	0
Из своего адвокатского опыта Столбунов знает, как трудно сегодня добиться справедливости в отношении арестованных правоохранительными органами людей за участие в митингах.	Столбунов	PERSON	29	38	0
Как сообщила пресс-служба президент России, Дмитрий Медведев подписал федеральный закон об ответственности за террористические преступления.	президент	PROFESSION	26	35	0
Они также станут первыми выборами после исключения страны из международной южноамериканской организации Меркосур, связанного с импичментом президента Фернандо Луго, избранного на предыдущих выборах 2008 года.	Меркосур	ORGANIZATION	104	112	0
В Италии их больше всего – около 27 тысяч.	Италии	COUNTRY	2	8	0
Особо радует презентация команды Рабобанк, в которой явный лидер и надежда гонки - россиянин Денис Меньшов.	Рабобанк	ORGANIZATION	33	41	1
«Украинская Алекс Мид» (Alexa Meade), художница Екатерина Головина, перевернула реальность на глазах гостей презентации, превратив живую девушку-модель в картину с обложки журнала ''Magic Woman'', создав иллюзию двухмерного пространства в трёхмерном.	Украинская	NATIONALITY	1	11	0
В главных ролях сыграли Бенедикт Камбербэтч, Кира Найтли, Мэттью Гуд, Марк Стронг, Рори Киннир и др.	Кира Найтли	PERSON	45	56	0
Система AACS была разработана компаниями: Уолт Дисней (Walt Disney Co.), Интел (Intel Corp.), Майкрософт (Microsoft Corp.), Тошиба (Toshiba Corp.) и Сони (Sony Corp.), чтобы защитить высококачественные форматы записи дисков, включая HD-DVD Тошибы и Blu-ray Сони.	Интел	ORGANIZATION	73	78	0
Мадуро, пользующийся поддержкой Китая и России, закрыл границы для американской помощи, но принял помощь от Красного креста.	России	COUNTRY	40	46	1
Четыре года спустя после незаконной аннексии Автономной Республики Крым и города Севастополя Российской Федерацией ЕС подтвердил, что он не признает ее и продолжает осуждать это нарушение международного права.	Российской Федерацией	COUNTRY	93	114	-1
Впоследствии Мутарика перестал поддерживать Мулузи, основав Демократическую прогрессивную партию, которая в настоящее время контролирует большинство мест в парламенте Малави.	Демократическую прогрессивную партию	ORGANIZATION	60	96	1
Премьер-министр Великобритании Тереза Мэй заявила, что она была «шокирована и потрясена» сообщением о смерти Стерджесс.	Стерджесс	PERSON	109	118	0
По словам лидера парламентского большинства Арчила Талаквадзе, главными темами обсуждения были текущие события в стране и результаты исследования Детского фонда ООН (UNICEF), которое показало, что в Грузии увеличился показатель бедности.	Детского фонда ООН	ORGANIZATION	146	164	0
В заявку сборной России под руководством Владимира Кузюткина попали связующие Вера Улякина и Евгения Старцева, нападающие Леся Махно, Любовь Соколова, Наталья Гончарова, Ольга Фатеева, Екатерина Гамова и Татьяна Кошелева, блокирующие Мария Борисенко (капитан команды), Мария Перепёлкина, Елена Константинова и Юлия Меркулова и два либеро Светлана Крючкова и Екатерина Кабешова.	Леся Махно	PERSON	122	132	1
Этому назначению предшествовал громкий скандал, сопровождавший историю отставки прежнего главы администрации Радия Хабирова.	Радия Хабирова	PERSON	109	123	0
Представитель Госдепа заявил: «Такой визит крайне неуместен в связи с беспрецедентной репрессивной кампанией, проводимой в Синьцзяне против уйгуров, этнических казахов, киргизов и других мусульман», «Пекин продолжает изображать свою репрессивную кампанию против уйгуров и других мусульман как законные усилия по борьбе с терроризмом».	казахов	NATIONALITY	160	167	0
За несколько часов до убийства Чэпмен подошел к Леннону у входа в дом и попросил подписать экземпляр ''Double Fantasy''.	Леннону	PERSON	48	55	0
В 1979 году Рокфеллер оказался замешан в международном скандале, когда вместе со своим давним другом Генри Киссинджером помог убедить президента Джимми Картера позволить иранскому шаху приехать в США на лечение от лимфомы, что стало одной из предпосылок кризиса с захватом заложников в Иране.	президента	PROFESSION	134	144	0
Президенты США и Франции беседуют в Белом доме	Президенты США и Франции	PROFESSION	0	24	0
В пятницу 12 апреля 2013 года генеральный директор вещательной корпорации BBC Тони Холл (Tony Hall) принял решение, не запрещать в своём эфире песню «Дин-дон, ведьма умерла!» (Ding-Dong!	Tony Hall	PERSON	89	98	0
В последнем матче «пенсионеры» уступили Лестеру, на данный момент лидер чемпионата под предводительством Клаудио Раньери раньше тренер Челси, со счётом 1:2.	тренер Челси	PROFESSION	128	140	0
Фильм «Игра в имитацию» уже успел получить главный приз Кинофестиваля в Торонто 2014 года, титул «Лучший британский фильм 2014 года», хорошие отзывы критиков и отличный рейтинг 8,2 на IMDB.	IMDB	ORGANIZATION	184	188	0
Там же клоуны детей убивают, это, разумеется, неправильно», — сообщил он изданию «Ридус».	клоуны	PROFESSION	7	13	0
Одним из первых Николаса Мадуро с победой поздравил президент России Владимир Путин.	президент России	PROFESSION	52	68	0
Владимир Путин и Эмманюэль Макрон в Версале, 2017 год	Эмманюэль Макрон	PERSON	17	33	0
Как отмечалось в документе, министры в настоящее время исключают военное вмешательство в дела Тегерана.	министры	PROFESSION	28	36	0
Следует заметить, что Россия не признает ХАМАС террористической организацией, что открывает для Москвы широчайшее поле для внешнеполитической деятельности.	ХАМАС	ORGANIZATION	41	46	0
После предъявления обвинения, которое продолжалось минут пять, судья окружного суда Рэймонд Дири постановил, что Насир должен быть оставлен под стражей и не может быть выпущен под залог.	судья окружного суда	PROFESSION	63	83	0
По сообщению НАТО, человек, одетый в форму афганской армии застрелил двух военнослужащих коалиции.	афганской армии	ORGANIZATION	43	58	0
Один из таких вариантов описывается как «агрессивный патруль»: предлагалось организовать полёты американских боевые самолётов над казармами Иранской революционной гвардии, чтобы подчеркнуть серьёзность ситуации.	Иранской революционной гвардии	ORGANIZATION	140	170	-1
Метцнер начал свою адвокатскую карьеру, успешно защищая обвиняемых в мелком воровстве, и вскоре стал экспертом по освобождению своих клиентов в связи с несоблюдением юридических формальностей.	Метцнер	PERSON	0	7	1
Согласно опросу общественного мнения, проведенного 27 июня социологическим институтом STEM/MARK, мнения чехов разделились примерно половина на половину.	STEM/MARK	ORGANIZATION	86	95	0
Представлены работы керамиста Геннадия Фисуна и каллиграфа Юрия Антонова.	Геннадия Фисуна	PERSON	30	45	0
Суд в Италии приговорил украинского бойца Виталия Маркива к 24 годам тюрьмы за соучастие в убийстве итальянского фотографа, освещавшего войну в Донбассе в 2014 году.	Суд в Италии	ORGANIZATION	0	12	-1
В СК РФ уже подтвердили эту информацию, уточнив, что массовое убийство устроил 18-летний студент колледжа, который застрелился, и переквалифицировали уголовное дело со статьи 205 УК РФ «теракт» на статью 105 УК РФ часть 2 «убийство двух и более лиц».	студент	PROFESSION	89	96	-1
В настоящий момент Керри возглавляет комитет Сената по международным отношениям.	Керри	PERSON	19	24	0
Сначала работал там в качестве телохранителя Ходорковского.	телохранителя Ходорковского	PROFESSION	31	58	0
Кроме того, истец требует обязать возместить все затраты, связанные с устранением последствий катастрофы, сообщает РБК.	РБК	ORGANIZATION	115	118	0
Сидибе учился во Франции и уже в юности работал консультантом в министерстве обороны Мали.	министерстве обороны Мали	ORGANIZATION	64	89	0
В соответствии с условиями соглашения, заключенного с Министерством юстиции США, в четверг компания Transocean Deepwater признала себя виновной в преступной халатности.	США	COUNTRY	76	79	0
