sentence	entity	entity_tag	entity_pos_start_rel	entity_pos_end_rel
Россиянин Алексей Наумов на 91-м месте (+00:45:25).	Алексей Наумов	PERSON	10	24
Россиянин Алексей Наумов на 91-м месте (+00:45:25).	Россиянин	NATIONALITY	0	9
Самый молодой пилот российской команды Эдуард Николаев также стартовал весьма удачно и шел с минимальным отставанием от Чагина, но в середине пути потерял около 20 минут.	Чагина	PERSON	120	126
Самый молодой пилот российской команды Эдуард Николаев также стартовал весьма удачно и шел с минимальным отставанием от Чагина, но в середине пути потерял около 20 минут.	пилот	PROFESSION	14	19
Самый молодой пилот российской команды Эдуард Николаев также стартовал весьма удачно и шел с минимальным отставанием от Чагина, но в середине пути потерял около 20 минут.	российской	COUNTRY	20	30
Стефан Петерансель (команда BMW X-Raid) был третьим (+00:01:34).	BMW X-Raid	ORGANIZATION	28	38
Стефан Петерансель (команда BMW X-Raid) был третьим (+00:01:34).	Стефан Петерансель	PERSON	0	18
Экипаж Леонида Новицкого (также BMW X-Raid) завершил этап восьмым (+00:14:42).	BMW X-Raid	ORGANIZATION	32	42
Экипаж Леонида Новицкого (также BMW X-Raid) завершил этап восьмым (+00:14:42).	Леонида Новицкого	PERSON	7	24
"""Очевидно, что он хочет играть на высшем уровне, а ""Арсенал"" и есть этот уровень."	Арсенал	ORGANIZATION	52	59
"Главный тренер ""Бирмингема"" Алекс Маклиш встал на защиту полузащитника Александра Глеба после того, как белорусский футболист признался, что был бы счастлив вернуться в ""Арсенал""."	Александра Глеба	PERSON	71	87
"Главный тренер ""Бирмингема"" Алекс Маклиш встал на защиту полузащитника Александра Глеба после того, как белорусский футболист признался, что был бы счастлив вернуться в ""Арсенал""."	Арсенал	ORGANIZATION	170	177
"Главный тренер ""Бирмингема"" Алекс Маклиш встал на защиту полузащитника Александра Глеба после того, как белорусский футболист признался, что был бы счастлив вернуться в ""Арсенал""."	"Главный тренер ""Бирмингема"""	PROFESSION	0	27
"Главный тренер ""Бирмингема"" Алекс Маклиш встал на защиту полузащитника Александра Глеба после того, как белорусский футболист признался, что был бы счастлив вернуться в ""Арсенал""."	белорусский	NATIONALITY	104	115
"Главный тренер ""Бирмингема"" Алекс Маклиш встал на защиту полузащитника Александра Глеба после того, как белорусский футболист признался, что был бы счастлив вернуться в ""Арсенал""."	полузащитника	PROFESSION	57	70
"Мы нуждаемся в нём от первой до последней минуты, и если он это понимает, то всё будет хорошо"", — цитирует Маклиша ESPN."	ESPN	ORGANIZATION	115	119
"Мы нуждаемся в нём от первой до последней минуты, и если он это понимает, то всё будет хорошо"", — цитирует Маклиша ESPN."	Маклиша	PERSON	107	114
"Об этом он заявил в преддверии субботнего матча с ""канонирами"", чем очень сильно разозлил фанатов ""Бирмингема""."	Бирмингема	ORGANIZATION	99	109
"Об этом он заявил в преддверии субботнего матча с ""канонирами"", чем очень сильно разозлил фанатов ""Бирмингема""."	канонирами	ORGANIZATION	51	61
"Он говорит, что в матче с ""Арсеналом"" мог бы выйти в стартовом составе, но я доверяю нашему медицинскому персоналу."	Арсеналом	ORGANIZATION	27	36
"Он говорит, что в матче с ""Арсеналом"" мог бы выйти в стартовом составе, но я доверяю нашему медицинскому персоналу."	медицинскому персоналу	PROFESSION	92	114
"Он приехал к нам наполовину здоровый, получил травму, но я решил внести его в заявку на матч с ""Манчестер Юнайтед"" с опережением графика."	Манчестер Юнайтед	ORGANIZATION	96	113
Видеоклип «Monster» претендует на звание самого порочного и скандального видео всех времен.	Monster	PERSON	11	18
Клип 32-летнего Веста, от части даже похожий на жесткое порно, выделяется не только шокирующим кровавым сюжетом, но и наличием нецензурной брани, а также весьма оскорбительными для некоторых сценами.	Веста	PERSON	16	21
Клип с мертвыми и повешенными моделями, на шеях которых свисают петли, головы которых изуродованы, и они валяются как мусор на полу, не мог оставить никого равнодушным.	моделями	PROFESSION	30	38
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Bon Iver	PERSON	191	199
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Jay Z	PERSON	173	178
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Nicki Minaj	PERSON	159	170
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Rick Ross	PERSON	135	144
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Бон Ивер	PERSON	181	189
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Канье Веста	PERSON	6	17
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Канье Уэста	PERSON	262	273
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Ники Минаж	PERSON	147	157
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	Рикки Росс	PERSON	123	133
Кроме Канье Веста, в скандальном ролике, полном трупов и крови, также снимались и другие популярные исполнители, такие как Рикки Росс (Rick Ross), Ники Минаж (Nicki Minaj), Jay Z и Бон Ивер (Bon Iver).Особенно поражают воображение невероятные бриллиантовые зубы Канье Уэста и несколько скромное поведение, по сравнению с обычным, Ники Минаж.	исполнители	PROFESSION	100	111
Напомним, что это не первый скандальный видеоклип американского репера – ранее ролик Веста со сценами членовредительства и секса так и не пустили в телеэфир.	Веста	PERSON	85	90
Напомним, что это не первый скандальный видеоклип американского репера – ранее ролик Веста со сценами членовредительства и секса так и не пустили в телеэфир.	американского	NATIONALITY	50	63
Напомним, что это не первый скандальный видеоклип американского репера – ранее ролик Веста со сценами членовредительства и секса так и не пустили в телеэфир.	репера	PROFESSION	64	70
Новый музыкальный видеоклип популярного американского певца и продюсера Kanye West на композицию «Monster» в котором много кровавых сцен уже успел стать хитом на видео портале YouTube.	Kanye West	PERSON	72	82
Новый музыкальный видеоклип популярного американского певца и продюсера Kanye West на композицию «Monster» в котором много кровавых сцен уже успел стать хитом на видео портале YouTube.	американского	NATIONALITY	40	53
Новый музыкальный видеоклип популярного американского певца и продюсера Kanye West на композицию «Monster» в котором много кровавых сцен уже успел стать хитом на видео портале YouTube.	певца	PROFESSION	54	59
Новый музыкальный видеоклип популярного американского певца и продюсера Kanye West на композицию «Monster» в котором много кровавых сцен уже успел стать хитом на видео портале YouTube.	продюсера	PROFESSION	62	71
Певица сообщила, что он рассказал ей много важных и полезных вещей о шоу-бизнесе, и помог ей с записью дебютного альбома под названием «Pink Friday».	Певица	PROFESSION	0	6
Ранее Nicki Minaj выразила свою благодарность Kanye West за то, что репер выступил в качестве ее наставника.	Kanye West	PERSON	46	56
Ранее Nicki Minaj выразила свою благодарность Kanye West за то, что репер выступил в качестве ее наставника.	репер	PROFESSION	68	73
Сам же Канье Уэст в этом ролике лежит в постели вместе с мертвыми моделями, и прикасается к ним, как ни в чем не бывало.	Канье Уэст	PERSON	7	17
Сам же Канье Уэст в этом ролике лежит в постели вместе с мертвыми моделями, и прикасается к ним, как ни в чем не бывало.	моделями	PROFESSION	66	74
Этот ролик шокировал общественность, даже самые преданные поклонники репера не скрывают своего негодования.	репера	PROFESSION	69	75
Вдова и дочь Александра Абдулова лишились крова и крыши из-за ледяной бури.	Александра Абдулова	PERSON	13	32
Кстати, завтра, 3 января, уже исполнится 3 года, как ушел из жизни великий артист Александр Абдулов.	Александр Абдулов	PERSON	82	99
Кстати, завтра, 3 января, уже исполнится 3 года, как ушел из жизни великий артист Александр Абдулов.	артист	PROFESSION	75	81
Ледяная буря в районе их дачи во Внуково привела к тому, что обледеневший столб общего пользования упал на крышу дома, где живут Юлия Милославская с ребенком.	Юлия Милославская	PERSON	129	146
На помощь к вдове Абдулова пришла их подруга, которая на время приютила у себя замерзающих не только мать и дочь, но и их обледеневший зверинец, состоящий из черепахи, рыбок, кота и собаки.	Абдулова	PERSON	18	26
На помощь к вдове Абдулова пришла их подруга, которая на время приютила у себя замерзающих не только мать и дочь, но и их обледеневший зверинец, состоящий из черепахи, рыбок, кота и собаки.	вдове Абдулова	PERSON	12	26
Накануне года в числе пострадавших от снежной стихии в Подмосковье оказались и вдова и 3-летняя дочь покойного актера Александра Абдулова, который фактически остались без крыши над головой.	Александра Абдулова	PERSON	118	137
Накануне года в числе пострадавших от снежной стихии в Подмосковье оказались и вдова и 3-летняя дочь покойного актера Александра Абдулова, который фактически остались без крыши над головой.	актера	PROFESSION	111	117
«Яшин признан виновным по статье 19.3 (неповиновение законным требованиям сотрудников милиции) КоАП и арестован на 5 суток», — сказала Березина.	Березина	PERSON	135	143
«Яшин признан виновным по статье 19.3 (неповиновение законным требованиям сотрудников милиции) КоАП и арестован на 5 суток», — сказала Березина.	Яшин	PERSON	1	5
«Яшин признан виновным по статье 19.3 (неповиновение законным требованиям сотрудников милиции) КоАП и арестован на 5 суток», — сказала Березина.	сотрудников милиции	PROFESSION	74	93
Лимонов был задержан милицией еще до начала митинга, который был запланирован на 18.00 мск.	Лимонов	PERSON	0	7
Лимонов был задержан милицией еще до начала митинга, который был запланирован на 18.00 мск.	милицией	ORGANIZATION	21	29
Накануне 31 декабря 2010 года некоторые СМИ сообщили, что московское отделение ДПНИ призвало своих сторонников выйти на Красную площадь и встретить Новый Год там.	ДПНИ	ORGANIZATION	79	83
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	Немцов	PERSON	0	6
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	ОМОН	ORGANIZATION	175	179
Немцов и Яшин оказались в автозаке после попытки пройти сквозь милицейское оцепление на несанкционированную акцию, попытки проведения которой пресекал находившийся на площади ОМОН.	Яшин	PERSON	9	13
Он был признан виновным в неповиновении милиции во время акции оппозиции 31 декабря на Триумфальной площади, сообщила пресс-секретарь Тверского суда Александра Березина.	Александра Березина	PERSON	149	168
Он был признан виновным в неповиновении милиции во время акции оппозиции 31 декабря на Триумфальной площади, сообщила пресс-секретарь Тверского суда Александра Березина.	пресс-секретарь Тверского суда	PROFESSION	118	148
По данным СМИ, Владлен Кралин является членом наблюдательного совета Движения против нелегальной иммиграции (ДПНИ).	Владлен Кралин	PERSON	15	29
По данным СМИ, Владлен Кралин является членом наблюдательного совета Движения против нелегальной иммиграции (ДПНИ).	ДПНИ	ORGANIZATION	109	113
По данным СМИ, Владлен Кралин является членом наблюдательного совета Движения против нелегальной иммиграции (ДПНИ).	членом наблюдательного совета Движения против нелегальной иммиграции	PROFESSION	39	107
Предновогодние акции в защиту 31 статьи Конституции РФ на Триумфальной площади в Москве — одна санкционированная и одна несанкционированная — собрали несколько сотен человек, а десятки участников, в том числе оппозиционные лидеры Эдуард Лимонов, Борис Немцов и Илья Яшин, примерно за шесть часов до наступления Нового года были задержаны.	РФ	COUNTRY	52	54
Прокуратура Москвы в связи с этой информацией объявила Кралину предостережение о недопустимости нарушений законодательства при проведении митингов.	Кралину	PERSON	55	62
Прокуратура Москвы в связи с этой информацией объявила Кралину предостережение о недопустимости нарушений законодательства при проведении митингов.	Прокуратура	ORGANIZATION	0	11
Ранее суд приговорил к 15 суткам ареста другого участника предновогодней акции — оппозиционного политика Бориса Немцова.	Бориса Немцова	PERSON	105	119
Ранее суд приговорил к 15 суткам ареста другого участника предновогодней акции — оппозиционного политика Бориса Немцова.	политика	PROFESSION	96	104
Суд арестовал Яшина вслед за Немцовым и Лимоновым.	Лимоновым	PERSON	40	49
Суд также за неповиновение сотрудникам милиции приговорил к 10 суткам административного ареста еще одного участника акций 31 октября — Владлена Кралина (Тора).	Владлена Кралина	PERSON	135	151
Суд также за неповиновение сотрудникам милиции приговорил к 10 суткам административного ареста еще одного участника акций 31 октября — Владлена Кралина (Тора).	Тора	PERSON	153	157
Суд также за неповиновение сотрудникам милиции приговорил к 10 суткам административного ареста еще одного участника акций 31 октября — Владлена Кралина (Тора).	сотрудникам милиции	PROFESSION	27	46
«Полиция уверена, что тело погибшего неизвестные поместили после убийства в одну из мусорных корзин, содержимое которой позже было загружено в грузовик при сборе мусора», - отмечает Fox News.	Fox News	ORGANIZATION	182	190
«Полиция уверена, что тело погибшего неизвестные поместили после убийства в одну из мусорных корзин, содержимое которой позже было загружено в грузовик при сборе мусора», - отмечает Fox News.	Полиция	ORGANIZATION	1	8
«Человек, который боролся за строительство Мемориала ветеранам Вьетнама и работал в администрациях президентов Бушей (Джорджа Буша-старшего и Джорджа Буша-младшего) был найден мертвым на свалке в Уилмингтоне (штат Делавэр).	Бушей	PERSON	111	116
«Человек, который боролся за строительство Мемориала ветеранам Вьетнама и работал в администрациях президентов Бушей (Джорджа Буша-старшего и Джорджа Буша-младшего) был найден мертвым на свалке в Уилмингтоне (штат Делавэр).	Вьетнама	COUNTRY	63	71
«Человек, который боролся за строительство Мемориала ветеранам Вьетнама и работал в администрациях президентов Бушей (Джорджа Буша-старшего и Джорджа Буша-младшего) был найден мертвым на свалке в Уилмингтоне (штат Делавэр).	Джорджа Буша-младшего	PERSON	142	163
«Человек, который боролся за строительство Мемориала ветеранам Вьетнама и работал в администрациях президентов Бушей (Джорджа Буша-старшего и Джорджа Буша-младшего) был найден мертвым на свалке в Уилмингтоне (штат Делавэр).	Джорджа Буша-старшего	PERSON	118	139
«Человек, который боролся за строительство Мемориала ветеранам Вьетнама и работал в администрациях президентов Бушей (Джорджа Буша-старшего и Джорджа Буша-младшего) был найден мертвым на свалке в Уилмингтоне (штат Делавэр).	президентов	PROFESSION	99	110
В настоящее время следователи просят очевидцев оказать помощь в расследовании», - сообщает телеканал.	следователи	PROFESSION	18	29
Во время президентства Рональда Рейгана занимал должность главы фонда Мемориала ветеранов Вьетнама, передает РИА «Новости».	Рональда Рейгана	PERSON	23	39
Во время президентства Рональда Рейгана занимал должность главы фонда Мемориала ветеранов Вьетнама, передает РИА «Новости».	главы фонда Мемориала ветеранов Вьетнама	PROFESSION	58	98
Во время президентства Рональда Рейгана занимал должность главы фонда Мемориала ветеранов Вьетнама, передает РИА «Новости».	президентства	PROFESSION	9	22
По данным полиции, тело 66-летнего Уилера было обнаружено в пятницу на уилмингтонской свалке, по предварительным данным, тело было привезено грузовиком-мусоросборщиком, который загружался в Ньюарке.	Уилера	PERSON	35	41
По данным полиции, тело 66-летнего Уилера было обнаружено в пятницу на уилмингтонской свалке, по предварительным данным, тело было привезено грузовиком-мусоросборщиком, который загружался в Ньюарке.	полиции	ORGANIZATION	10	17
Полиция штата Делавэр расследует убийство бывшего советника администрации США Джона Уилера, сообщает телеканал Fox News.	Fox News	ORGANIZATION	111	119
Полиция штата Делавэр расследует убийство бывшего советника администрации США Джона Уилера, сообщает телеканал Fox News.	Полиция	ORGANIZATION	0	7
Полиция штата Делавэр расследует убийство бывшего советника администрации США Джона Уилера, сообщает телеканал Fox News.	советника администрации США	PROFESSION	50	77
После окончания в 1966 году военной академии West Point работал в правительственных структурах.	военной академии West Point	ORGANIZATION	28	55
После того, как оставил службу в администрации США, он зарабатывал на жизнь политическим и бизнес-консультированием.	администрации США	ORGANIZATION	33	50
Смерть Джона Уилера была квалифицирована полицейскими экспертами города Ньюарка как убийство.	Джона Уилера	PERSON	7	19
Тело советника президентов США нашли на свалке.	советника президентов США	PROFESSION	5	30
"""Этот защитник владеет прекрасным первым пасом."	защитник	PROFESSION	6	14
Андерлехт подписал сенегальского защитника.	Андерлехт	ORGANIZATION	0	9
Андерлехт подписал сенегальского защитника.	защитника	PROFESSION	33	42
Андерлехт подписал сенегальского защитника.	сенегальского	NATIONALITY	19	32
"Бельгийский ""Андерлехт"" усилился 22-летним защитником Абдулайе Секом , который в 2009 году был признан лучшим футболистом чемпионата Сенегала."	Бельгийский	COUNTRY	0	11
"Бельгийский ""Андерлехт"" усилился 22-летним защитником Абдулайе Секом , который в 2009 году был признан лучшим футболистом чемпионата Сенегала."	защитником	PROFESSION	43	53
"Бельгийский ""Андерлехт"" усилился 22-летним защитником Абдулайе Секом , который в 2009 году был признан лучшим футболистом чемпионата Сенегала."	футболистом	PROFESSION	110	121
"Бельгийский ""Андерлехт"" усилился 22-летним защитником Абдулайе Секом , который в 2009 году был признан лучшим футболистом чемпионата Сенегала."	чемпионата Сенегала	ORGANIZATION	122	141
"Он знает, как нужно быстро доставить мяч из защиты в линию атаки"", - прокомментировал переход скаут ""Андерлехта"" Дераве Вернер ."	"скаут ""Андерлехта"	PROFESSION	94	111
Соглашение с сенегальцем рассчитано на ближайшие шесть месяцев с возможностью продления еще на три сезона в том случае, если Сек сумеет зарекомендовать себя с положительной стороны.	сенегальцем	NATIONALITY	13	24
"В заявлении он отметил, что в помещении кафе-бара ""неизвестное лицо похитило его портфель, в котором был деревянный крест, 250 иконок, паспорт гражданина Украины и удостоверения священника УГКЦ на его фамилию, 13 700 американских долларов и 9 200 евро""."	УГКЦ	ORGANIZATION	189	193
"В заявлении он отметил, что в помещении кафе-бара ""неизвестное лицо похитило его портфель, в котором был деревянный крест, 250 иконок, паспорт гражданина Украины и удостоверения священника УГКЦ на его фамилию, 13 700 американских долларов и 9 200 евро""."	гражданина Украины	NATIONALITY	143	161
"В заявлении он отметил, что в помещении кафе-бара ""неизвестное лицо похитило его портфель, в котором был деревянный крест, 250 иконок, паспорт гражданина Украины и удостоверения священника УГКЦ на его фамилию, 13 700 американских долларов и 9 200 евро""."	священника	PROFESSION	178	188
В итоге грабители украли 18,5 тыс. долларов США, 7 тыс. евро и 0,2 кг золота.	США	COUNTRY	44	47
Как сообщили в ГУ МВД Украины во Львовской области, священнослужитель, который проживает в Стрийском районе Львовщины, обратился к правоохранителям с заявлением о краже.	ГУ МВД Украины во Львовской области	ORGANIZATION	15	50
Как сообщили в ГУ МВД Украины во Львовской области, священнослужитель, который проживает в Стрийском районе Львовщины, обратился к правоохранителям с заявлением о краже.	правоохранителям	PROFESSION	131	147
Накануне Нового года , в помещении одного из кафе-баров на улице Коперника в центре Львова, у 41-летнего священнослужителя УГКЦ похитили портфель с документами, деньгами, иконками и деревянным крестом.	Коперника	PERSON	65	74
Накануне Нового года , в помещении одного из кафе-баров на улице Коперника в центре Львова, у 41-летнего священнослужителя УГКЦ похитили портфель с документами, деньгами, иконками и деревянным крестом.	священнослужителя УГКЦ	PROFESSION	105	127
В ассоциации барменов и рестораторов Испании считают, что нововведение приведет к большим убыткам.	ассоциации барменов и рестораторов Испании	ORGANIZATION	2	44
В ассоциации барменов и рестораторов Испании считают, что нововведение приведет к большим убыткам.	барменов	PROFESSION	13	21
В ассоциации барменов и рестораторов Испании считают, что нововведение приведет к большим убыткам.	рестораторов	PROFESSION	24	36
В ноябре 2010 года запрет на курение во всех общественных местах вступил в силу в Польше, в декабре - в Греции.	Греции	COUNTRY	104	110
В ноябре 2010 года запрет на курение во всех общественных местах вступил в силу в Польше, в декабре - в Греции.	Польше	COUNTRY	82	88
В одной из самых курящих стран Евросоюза - Испании - с сегодняшнего дня запрещено появляться с сигаретой в общественных местах.	Испании	COUNTRY	43	50
Несколько лет назад подобный закон начал работать в Великобритании, Франции и Италии.	Великобритании	COUNTRY	52	66
Несколько лет назад подобный закон начал работать в Великобритании, Франции и Италии.	Италии	COUNTRY	78	84
Несколько лет назад подобный закон начал работать в Великобритании, Франции и Италии.	Франции	COUNTRY	68	75
Американская актриса Энн Фрэнсис скончалась от рака на 81-м году жизни.	Американская	NATIONALITY	0	12
Американская актриса Энн Фрэнсис скончалась от рака на 81-м году жизни.	актриса	PROFESSION	13	20
В знаменитом американском городке Санта-Барбара, штат Калифорния, в минувшее воскресенье после длительной болезни скончалась знаменитая американская актриса Энн Фрэнсис (Anne Francis).	Anne Francis	PERSON	170	182
В знаменитом американском городке Санта-Барбара, штат Калифорния, в минувшее воскресенье после длительной болезни скончалась знаменитая американская актриса Энн Фрэнсис (Anne Francis).	Энн Фрэнсис	PERSON	157	168
В знаменитом американском городке Санта-Барбара, штат Калифорния, в минувшее воскресенье после длительной болезни скончалась знаменитая американская актриса Энн Фрэнсис (Anne Francis).	актриса	PROFESSION	149	156
В знаменитом американском городке Санта-Барбара, штат Калифорния, в минувшее воскресенье после длительной болезни скончалась знаменитая американская актриса Энн Фрэнсис (Anne Francis).	американская	NATIONALITY	136	148
В знаменитом американском городке Санта-Барбара, штат Калифорния, в минувшее воскресенье после длительной болезни скончалась знаменитая американская актриса Энн Фрэнсис (Anne Francis).	американском	COUNTRY	13	25
"За годы своей кинокарьеры она снялась в более чем 30 фильмах и телесериалах, в том числе научно-фантастическом фильме ""Запрещенная планета"" и детективном сериале ""Медовый Запад"", за роль в котором актриса получила кинопремию ""Золотой глобус"" и была номинирована на премию ""Эмми""."	актриса	PROFESSION	197	204
Как сообщает агентство Associated Press, у нее был рак поджелудочной железы.	Associated Press	ORGANIZATION	23	39
Напомним, еще одна печальная новость пришла сегодня из Великобритании.	Великобритании	COUNTRY	55	69
Об этом рассказала журналистам дочь актрисы, Джейн Уамура.	Джейн Уамура	PERSON	45	57
Об этом рассказала журналистам дочь актрисы, Джейн Уамура.	актрисы	PROFESSION	36	43
Об этом рассказала журналистам дочь актрисы, Джейн Уамура.	журналистам	PROFESSION	19	30
Там в возрасте 64 лет скончался известный актер Пит Постлетуэйт.	Пит Постлетуэйт	PERSON	48	63
Там в возрасте 64 лет скончался известный актер Пит Постлетуэйт.	актер	PROFESSION	42	47
Энн Фрэнсис была одной из самых известных американских красавиц 1950-1960-х годов.	Энн Фрэнсис	PERSON	0	11
Энн Фрэнсис была одной из самых известных американских красавиц 1950-1960-х годов.	американских	COUNTRY	42	54
Благодаря победе в этом поединке Иванович смогла вывести сборную Сербии вперед в противостоянии с командой Казахстана (1-0).	Иванович	PERSON	33	41
